symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate,volume_spike_flag
APEUSDT,2025-01-12 15:40:00+09:00,1.1167,1.1167,1.1163,1.1167,344.9,15584173.4,0.0001,-0.223,-96.184,-0.477,False
API3USDT,2025-01-12 15:40:00+09:00,1.466,1.467,1.466,1.467,500.5,1849682.7,0.0001,-0.407,-73.424,0.397,False
APTUSDT,2025-01-12 15:40:00+09:00,8.96,8.9705,8.9585,8.969,273.72,7889845.14,0.0001,-0.222,-85.052,0.122,False
ARBUSDT,2025-01-12 15:40:00+09:00,0.7355,0.7357,0.7351,0.7357,34205.2,82785573.3,0.0001,-0.325,-16.682,0.027,False
ARCUSDT,2025-01-12 15:40:00+09:00,0.25842,0.25906,0.25788,0.25867,143429.0,18455375.0,5e-05,-0.324,-82.224,8.858,False
ARKMUSDT,2025-01-12 15:40:00+09:00,1.356,1.356,1.355,1.356,94.0,10648236.0,0.0001,-0.404,-89.827,-0.041,False
ARKUSDT,2025-01-12 15:40:00+09:00,0.6484,0.6484,0.6476,0.6484,2068.0,6440050.0,-0.000612,-0.887,-93.703,-2.787,False
ARPAUSDT,2025-01-12 15:40:00+09:00,0.04624,0.04624,0.04624,0.04624,0.0,21192390.0,0.0001,-0.28,-100.0,-0.131,False
ARUSDT,2025-01-12 15:40:00+09:00,15.729,15.729,15.72,15.728,17.7,1442605.0,0.0001,-0.449,-93.388,0.191,False
ASTRUSDT,2025-01-12 15:40:00+09:00,0.061405,0.061405,0.061405,0.061405,0.0,55064214.0,0.0001,-0.518,-100.0,-0.177,False
ATAUSDT,2025-01-12 15:40:00+09:00,0.14287,0.14287,0.14273,0.14273,550.0,11838470.0,0.0001,-0.342,-98.531,-0.111,False
ATHUSDT,2025-01-12 15:40:00+09:00,0.06372,0.06373,0.06369,0.06373,14250.0,250165860.0,-3.5e-05,-0.047,-53.898,-0.017,False
ATOMUSDT,2025-01-12 15:40:00+09:00,6.633,6.633,6.628,6.63,6.4,7103853.6,0.0001,-0.211,-99.635,0.057,False
AUCTIONUSDT,2025-01-12 15:40:00+09:00,15.406,15.406,15.405,15.406,0.8,323232.4,5e-05,-0.414,-99.31,-0.025,False
AUDIOUSDT,2025-01-12 15:40:00+09:00,0.1434,0.1434,0.1434,0.1434,0.0,18973764.39999999,0.0001,-0.07,-100.0,-0.221,False
AVAAIUSDT,2025-01-12 15:40:00+09:00,0.21851,0.21914,0.21851,0.21914,70198.0,11665417.0,0.0001,2.273,-90.369,-1.024,False
AVAILUSDT,2025-01-12 15:40:00+09:00,0.11263,0.11263,0.1126,0.1126,937.0,21649925.0,0.0001,-0.521,-99.801,-1.993,False
AVAUSDT,2025-01-12 15:40:00+09:00,1.0993,1.0996,1.0988,1.0996,674.2,1607829.3,0.0001,-0.29,-78.024,0.072,False
AVAXUSDT,2025-01-12 15:40:00+09:00,36.79,36.805,36.78,36.805,1095.3,3375786.6,0.0001,-0.257,-2.38,-0.23,False
AXLUSDT,2025-01-12 15:40:00+09:00,0.6089,0.6089,0.6087,0.6089,178.0,6722980.0,0.0001,-0.295,-89.12,0.234,False
AXSUSDT,2025-01-12 15:40:00+09:00,6.181,6.182,6.178,6.179,4274.3,2662545.1,0.0001,-0.547,75.248,-1.595,False
BADGERUSDT,2025-01-12 15:40:00+09:00,3.94,3.94,3.94,3.94,0.0,911914.0,0.0001,-0.605,-100.0,0.361,False
BAKEUSDT,2025-01-12 15:40:00+09:00,0.2342,0.2342,0.2341,0.2342,968.9,16547715.3,0.0001,-0.34,-55.255,0.206,False
BALUSDT,2025-01-12 15:40:00+09:00,2.482,2.482,2.481,2.481,13.55,506730.94,0.0001,-0.321,-77.242,0.009,False
BANANAUSDT,2025-01-12 15:40:00+09:00,38.949,38.949,38.936,38.937,1.99,46517.07,0.0001,-0.064,-94.27,-0.057,False
BANDUSDT,2025-01-12 15:40:00+09:00,1.358,1.358,1.358,1.358,0.0,1390745.0,0.0001,-0.367,-100.0,0.288,False
BANUSDT,2025-01-12 15:40:00+09:00,0.0589,0.0589,0.0586,0.0587,1336447.0,177562795.0,0.0001,-2.815,-92.351,1.445,False
BATUSDT,2025-01-12 15:40:00+09:00,0.2506,0.2506,0.2503,0.2506,16883.5,13450851.0,0.0001,-0.477,-90.979,-2.915,False
BBUSDT,2025-01-12 15:40:00+09:00,0.3422,0.3422,0.3421,0.3422,1174.0,6374037.0,0.0001,-0.204,-1.345,0.13,False
BCHUSDT,2025-01-12 15:40:00+09:00,440.6,440.6,440.6,440.6,0.59,106426.22,0.0001,0.0,-99.067,0.03,False
BEAMUSDT,2025-01-12 15:40:00+09:00,0.022832,0.022832,0.02282,0.022831,19200.0,570912700.0,0.0001,-0.118,-96.439,-0.007,False
BELUSDT,2025-01-12 15:40:00+09:00,0.5236,0.5236,0.5235,0.5236,62.0,2356445.0,0.0001,-0.267,-92.402,0.083,False
BENDOGUSDT,2025-01-12 15:40:00+09:00,0.008318,0.008323,0.008318,0.008323,3970.0,292453210.0,0.0001,-0.132,-92.801,-0.017,False
BICOUSDT,2025-01-12 15:40:00+09:00,0.2739,0.2739,0.2739,0.2739,0.0,7150092.3,0.0001,-0.436,-100.0,0.131,False
BIGTIMEUSDT,2025-01-12 15:40:00+09:00,0.12662,0.12662,0.12654,0.12657,4178.0,56238352.0,0.0001,-0.197,-71.911,-0.087,False
