symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate,volume_spike_flag,small_price_move_flag
BNBUSDT,2025-01-09 21:00:00+09:00,699.4,701.35,680.4,695.85,29389.87,162387.21,0.0001,0.0,-32.607,-0.972,False,True
BNTUSDT,2025-01-09 21:00:00+09:00,0.64255,0.64755,0.62115,0.6464,157172.0,1193823.0,0.0001,-1.185,-85.385,0.056,False,False
BNXUSDT,2025-01-09 21:00:00+09:00,0.3735,0.3748,0.3589,0.3733,822638.3,7621009.9,0.0001,-0.929,-37.571,-2.136,False,True
BOBAUSDT,2025-01-09 21:00:00+09:00,0.19191,0.19443,0.18679,0.19417,1564057.9,5153337.8,0.0001,0.868,5.699,-5.372,False,True
BOMEUSDT,2025-01-09 21:00:00+09:00,0.005625,0.005652,0.005354,0.005636,613190000.0,2914107100.0,0.0001,-0.617,-20.403,1.572,False,True
BRETTUSDT,2025-01-09 21:00:00+09:00,0.12116,0.12239,0.11515,0.12191,54592740.0,266715340.0,0.0001,0.42,-31.722,-3.027,False,True
BSVUSDT,2025-01-09 21:00:00+09:00,52.9,53.08,50.82,52.69,17442.33,36410.08999999,0.0001,-0.865,-16.833,-2.673,False,True
BSWUSDT,2025-01-09 21:00:00+09:00,0.06802,0.06836,0.06521,0.06821,2271455.0,10189859.0,0.0001,-0.54,-27.894,-1.444,False,True
BTCUSDT,2025-01-09 21:00:00+09:00,93410.1,93985.0,91738.0,93932.7,32712.391,66153.982,0.0001,-0.036,-32.788,1.137,False,True
C98USDT,2025-01-09 21:00:00+09:00,0.1548,0.1564,0.1479,0.1561,3821285.1,25452056.5,0.0001,-0.192,-18.171,0.676,False,True
CAKEUSDT,2025-01-09 21:00:00+09:00,2.343,2.349,2.251,2.347,483331.2,4001645.2,0.0001,1.734,-52.6,-1.032,False,False
CARVUSDT,2025-01-09 21:00:00+09:00,0.8902,0.9034,0.8318,0.8576,2848882.0,10472701.0,-0.002424,2.278,90.594,1.209,True,False
CATIUSDT,2025-01-09 21:00:00+09:00,0.306,0.3094,0.2931,0.3086,3937738.0,16565592.0,0.0001,1.081,-51.946,2.09,False,False
CELOUSDT,2025-01-09 21:00:00+09:00,0.656,0.6563,0.6269,0.6533,960091.4,6761602.3,0.0001,-1.09,-23.61,4.232,False,False
CELRUSDT,2025-01-09 21:00:00+09:00,0.01684,0.01692,0.0161,0.01688,15145255.0,147458541.0,0.0001,0.119,-26.911,-0.934,False,True
CETUSUSDT,2025-01-09 21:00:00+09:00,0.32361,0.32587,0.30711,0.31593,3095323.0,12279247.0,0.0001,-5.704,-38.364,-5.524,False,False
CFXUSDT,2025-01-09 21:00:00+09:00,0.14892,0.1501,0.14408,0.14978,7995697.0,39996450.0,0.0001,0.503,-9.598,-1.334,False,True
CHESSUSDT,2025-01-09 21:00:00+09:00,0.1813,0.182,0.1735,0.1817,950314.0,4667713.0,0.0001,1.508,0.475,2.85,False,False
CHILLGUYUSDT,2025-01-09 21:00:00+09:00,0.1332,0.1352,0.1248,0.134,74022300.0,108267658.0,0.0001,-2.332,-39.066,8.831,False,False
CHRUSDT,2025-01-09 21:00:00+09:00,0.2139,0.2158,0.2056,0.2154,1319201.1,10591553.9,0.0001,0.326,-27.455,-2.051,False,True
CHZUSDT,2025-01-09 21:00:00+09:00,0.08428,0.08473,0.0806,0.08344,44446856.0,97086683.0,-8.8e-05,-0.072,0.852,1.302,True,True
CKBUSDT,2025-01-09 21:00:00+09:00,0.011084,0.011201,0.010669,0.011191,97113310.0,285624310.0,0.0001,0.62,-14.795,2.397,False,True
CLOUDUSDT,2025-01-09 21:00:00+09:00,0.1845,0.1888,0.1752,0.1804,5753847.0,11934309.0,0.0001,-2.328,-40.268,1.929,False,False
COMBOUSDT,2025-01-09 21:00:00+09:00,0.3988,0.4005,0.3823,0.3998,72303.5,854903.7,0.0001,-0.819,-54.229,0.965,False,True
COMPUSDT,2025-01-09 21:00:00+09:00,72.06,72.21,69.05,71.94,18913.42,68212.02,0.0001,-1.208,-20.37,-5.682,False,False
COOKIEUSDT,2025-01-09 21:00:00+09:00,0.4755,0.5118,0.4568,0.5105,12864842.0,9212179.0,0.0001,3.592,25.883,17.704,False,False
