symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate
ATHUSDT,2025-01-04 17:30:00+09:00,0.07118,0.07139,0.07102,0.07102,655990.0,264100500.0,1.4e-05,-0.824,71.795,0.111
ATOMUSDT,2025-01-04 17:30:00+09:00,7.295,7.326,7.292,7.292,22217.0,6702996.3,0.0001,-0.843,171.379,0.038
AUCTIONUSDT,2025-01-04 17:30:00+09:00,18.041,18.162,18.01,18.03,4163.4,384506.2,0.0005,-0.847,16.996,-3.078
AUDIOUSDT,2025-01-04 17:30:00+09:00,0.1668,0.1672,0.1664,0.1664,24329.4,19798206.6,0.0001,-1.422,-1.929,0.89
AVAILUSDT,2025-01-04 17:30:00+09:00,0.11955,0.11994,0.11955,0.11968,18343.0,16061707.0,0.0001,-0.499,-57.866,-0.12
AVAUSDT,2025-01-04 17:30:00+09:00,1.4451,1.4467,1.4324,1.4349,70126.6,2066645.6,0.0001,-2.041,89.421,-2.725
AVAXUSDT,2025-01-04 17:30:00+09:00,41.665,41.79,41.595,41.595,13081.8,3188625.7,0.0001,-0.964,80.277,-0.116
AXLUSDT,2025-01-04 17:30:00+09:00,0.7324,0.7346,0.7315,0.7316,16420.0,6390890.0,0.0001,-1.428,14.301,-1.09
AXSUSDT,2025-01-04 17:30:00+09:00,7.034,7.049,7.018,7.018,8342.4,2772882.7,4e-05,-1.113,77.596,0.237
BADGERUSDT,2025-01-04 17:30:00+09:00,4.391,4.401,4.361,4.368,5521.4,1081514.2,0.0001,-1.109,27.481,0.364
BAKEUSDT,2025-01-04 17:30:00+09:00,0.2769,0.2776,0.2759,0.276,47371.9,15352841.1,0.0001,-1.464,-20.484,-0.247
BALUSDT,2025-01-04 17:30:00+09:00,2.804,2.809,2.8,2.802,766.39,507430.8,0.0001,-1.268,6.584,0.474
BANANAUSDT,2025-01-04 17:30:00+09:00,45.13,45.381,44.954,44.955,1346.34,81416.91,0.0001,-0.711,8.974,-0.992
BANDUSDT,2025-01-04 17:30:00+09:00,1.577,1.581,1.573,1.574,5685.4,1256582.2,0.0001,-1.563,-26.876,-0.272
BANUSDT,2025-01-04 17:30:00+09:00,0.0633,0.0635,0.063,0.063,2518835.0,167225358.0,0.0001,-1.563,15.386,-1.181
BATUSDT,2025-01-04 17:30:00+09:00,0.2598,0.2603,0.2589,0.2589,40562.9,14044924.3,0.0001,-1.521,-22.366,0.331
BBUSDT,2025-01-04 17:30:00+09:00,0.4648,0.4661,0.4632,0.4632,81956.0,6586811.0,0.0001,-1.384,90.694,-0.382
BCHUSDT,2025-01-04 17:30:00+09:00,474.5,475.7,473.9,474.3,652.02,111242.54,0.0001,-0.857,22.644,-0.011
BEAMUSDT,2025-01-04 17:30:00+09:00,0.029103,0.029174,0.02896,0.028991,2465100.0,592088700.0,0.0001,-1.458,-4.687,-0.099
BELUSDT,2025-01-04 17:30:00+09:00,0.6173,0.6184,0.6152,0.6153,9826.0,2765132.0,0.0001,-1.85,-1.498,-0.553
BENDOGUSDT,2025-01-04 17:30:00+09:00,0.010497,0.010545,0.010439,0.010454,839080.0,300557240.0,0.000315,-1.322,13.692,-0.153
BICOUSDT,2025-01-04 17:30:00+09:00,0.3443,0.345,0.3427,0.343,70397.0,6692228.2,0.0001,-1.408,67.922,0.483
BIGTIMEUSDT,2025-01-04 17:30:00+09:00,0.15016,0.15057,0.14952,0.14953,615501.0,66423324.0,0.0001,-1.664,-42.537,1.021
BILLYUSDT,2025-01-04 17:30:00+09:00,0.02281,0.02288,0.0222,0.0223,4134610.0,74993250.0,0.0001,-2.663,-12.802,-3.122
BIOUSDT,2025-01-04 17:30:00+09:00,0.7526,0.7569,0.7452,0.7491,658808.0,17521931.0,0.0001,-2.053,-24.335,0.6
