symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate,volume_spike_flag,small_price_move_flag
EOSUSDT,2025-01-19 23:30:00,0.8845,0.885,0.8762,0.882,508828.6,31054876.5,0.0001,0.823,26.215,1.751,False,False
ETCUSDT,2025-01-19 23:30:00,26.959,26.959,26.666,26.844,17879.3,1690633.3,0.0001,2.317,-10.888,-1.329,False,False
ETHBTCUSDT,2025-01-19 23:30:00,0.031792,0.031808,0.031468,0.031652,993140.0,484218720.0,0.0,1.419,-81.629,-1.049,False,False
ETHFIUSDT,2025-01-19 23:30:00,1.9382,1.946,1.912,1.9284,220691.7,6330125.9,0.0001,4.328,-33.604,2.789,False,False
ETHUSDT,2025-01-19 23:30:00,3350.97,3352.0,3303.14,3326.72,35698.33,1123380.28,0.0001,1.549,-47.084,0.341,False,False
ETHWUSDT,2025-01-19 23:30:00,2.969,2.969,2.921,2.945,4275.09,1219915.37,0.0001,2.792,-73.197,3.028,False,False
FARTCOINUSDT,2025-01-19 23:30:00,2.2086,2.2414,2.1767,2.1843,643644.0,35541380.0,0.0001,-8.549,-79.968,-0.113,False,False
FBUSDT,2025-01-19 23:30:00,1.594,1.6,1.577,1.578,22098.1,402993.5,0.0001,2.534,-20.895,-2.681,False,False
FDUSDUSDT,2025-01-19 23:30:00,0.9981,0.9982,0.9979,0.9981,449.0,275905.0,0.0001,0.0,-32.583,-0.693,True,True
FIDAUSDT,2025-01-19 23:30:00,0.2639,0.2645,0.2609,0.2618,339380.0,12808066.0,0.000651,-4.032,-81.28,12.17,False,False
FILUSDT,2025-01-19 23:30:00,5.367,5.375,5.313,5.362,98652.3,8018163.8,0.0001,2.231,-32.572,-0.101,False,False
FIOUSDT,2025-01-19 23:30:00,0.03621,0.03627,0.03592,0.0361,42880.0,13460370.0,0.0001,2.528,-51.998,0.872,False,False
FIREUSDT,2025-01-19 23:30:00,0.2731,0.2748,0.2692,0.2707,84269.0,2152532.0,0.0001,-2.133,-30.648,1.308,False,False
FLMUSDT,2025-01-19 23:30:00,0.06583,0.06586,0.06517,0.06568,124811.0,21155723.0,0.000613,1.924,-58.701,0.755,False,False
